,extra_id,name,text,count,paraphrase,class_simple,topics
1,1,ADERHOLT ROBERT B,"i am excited to announce that alex vanderford will be joining our team. alex has a wealth of campaign experience and he shares my vision of reigniting the economy after this pandemic, bringing jobs back from china to america, expanding broadband to all rural areas, and protecting the unborn. i know alex will work tirelessly to show the voters how much progress weve made, but also how we can make even more progress in the future.",76,"Alex vanderford has a wealth of campaign experience and he shares my vision of reiniting the economy after this pandemic, bringing jobs back from china to America, expanding broadband to all rural areas, and protecting the unborn. I know alex will work tirelessly to show the voters how much progress we have made, but also how we can make even more progress in the future.",3,election 
5,5,ADERHOLT ROBERT B,"i am excited to announce that alex vanderford will be joining our team. alex has a wealth of campaign experience and he shares my vision of reigniting the economy after this pandemic, bringing jobs back from china to america, expanding broadband to all rural areas, and protecting the unborn. i know alex will work tirelessly to show the voters how much progress weve made, but also how we can make even more progress in the future.",76,"According to me, the US economy has been affected since the Great Depression and alex vanderford is leaving. Now he is joined by other politicians including former U.S. gov. Bill Clinton, who can be counted as his front desk head.",2,economy 
12,12,ADERHOLT ROBERT B,"robert is a member of the powerful house committee on appropriations, which has jurisdiction over funding the operation of the federal government. he serves as ranking member of the subcommittee on commerce, justice and science and supports greater transparency, accountability and oversight to the appropriations process and also serves as a member of the agriculture and rural development subcommittee and the defense subcommittee. an advocate of fiscal responsibility, truth in budgeting and a federal government that operates within its means, he tries to bring commonsense solutions to the appropriations committee.",90,"As an advocate of fiscal responsibility and truth in budgeting, he is a member of the powerful house committee on appropriations. he serves as ranking member of the subcommittee on commerce, justice and science and supports greater transparency, accountability and oversight to the appropriations process and also serves as a member of the agriculture and rural development subcommittee and the defense subcommittee.",3,election 
52,52,ADERHOLT ROBERT B,"a staunch supporter of his community, district and the state of alabama, robert believes the federal government serves a critical role in assisting state and local projects regarding economic development. he continues to support progrowth initiatives that create jobs, strong immigration standards, and robust national security.",46,"Progrowth initiatives that create jobs, strong immigration standards, and robust national security: Robert supports his community, district and the state of alabama, he continues to support progrowth initiatives that create jobs., immigrants and robust national security.",1,occupation
57,57,ADERHOLT ROBERT B,"a staunch supporter of his community, district and the state of alabama, robert believes the federal government serves a critical role in assisting state and local projects regarding economic development. he continues to support progrowth initiatives that create jobs, strong immigration standards, and robust national security.",46,"Robert Abernet supports his local community, district and the state of Alabama. He supports progrowth initiatives that create jobs, strong immigration standards, and robust national security.",7,domestic_policy
69,69,AGUILAR ERICK JAVIER DR,"in congress, ive been working to expand job training opportunities so that students are jobready out of high school and fighting to reduce the cost of college so that more students can afford it. last year, i wrote a bill to give small businesses a tax break for the cost of training new employees and i helped secure funding to retrain laid off ashley furniture employees when their colton facility closed and the jobs were outsourced overseas.",77,i helped secure funding to retrain layoff ashley furniture employees when their Colton facility closed and the jobs were outsourced overseas. i have been working to expand job training opportunities so that students are jobready out of high school and fighting to reduce the cost of college so that more students can afford it. and he will give me a bill which the House passed in November.,2,economy 
72,72,AGUILAR ERICK JAVIER DR,"earlier this year, i led democratic negotiations in the house of representatives on legislation to create a pathway to citizenship for dreamers after president trump ended the daca program. my bipartisan legislation makes sensible security improvements along the southern border and allows dreamers to remain in the only country theyve ever called home.",53,My proposed immigration bill was passed today by a U.S. Senate vote. The daca program is ending. We can't change what happens to dreamers. Im going to vote on this bill.,9,immigration
86,86,AGUILAR ERICK JAVIER DR,"earlier this year, i led the effort in congress to pass a law that would ensure that military service members can use their skills from the military to quickly transition to goodpaying jobs here in the inland empire when they return home and i helped secure over 500,000 to help homeless veterans in san bernardino county.",56,What are some ideas for how the inland economy could be changed at the end of the year if any military veterans could use their military skills to quickly transition to goodpaying jobs here in the inland empire when they return home?,2,economy 
90,90,AGUILAR ERICK JAVIER DR,"womens reproductive rights are under constant attack and were still a long way away from realizing full pay equity for women. in congress, ive been standing up to the trump administrations efforts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services.",46,"In Congress, ive stood up to the Trump administrations efforts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services.",0,social_policy
91,91,AGUILAR ERICK JAVIER DR,"womens reproductive rights are under constant attack and were still a long way away from realizing full pay equity for women. in congress, ive been standing up to the trump administrations efforts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services.",46,"In congress, I have stood up to womens reproductive rights being harassed by the Trump Administration as they can no longer afford to have abortion or be seen in hospital. Is this a thing I should have done?",0,social_policy
92,92,AGUILAR ERICK JAVIER DR,"womens reproductive rights are under constant attack and were still a long way away from realizing full pay equity for women. in congress, ive been standing up to the trump administrations efforts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services.",46,"In Congress, i stand up to the trump administrations efforts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services.",0,social_policy
93,93,AGUILAR ERICK JAVIER DR,"womens reproductive rights are under constant attack and were still a long way away from realizing full pay equity for women. in congress, ive been standing up to the trump administrations efforts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services.",46,"In a congress, ive stood up to democrats and womens rights, including womens reproductive rights, and vowed to fight for equal pay for all women. the trump administration's policies on abortion, contraception and family planning.",0,social_policy
94,94,AGUILAR ERICK JAVIER DR,"womens reproductive rights are under constant attack and were still a long way away from realizing full pay equity for women. in congress, ive been standing up to the trump administrations efforts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services.",46,"For now womens reproductive rights are under constant attack and were still a long way from realizing full pay equity for women. in congress, ive been standing up to the trump administrations efforts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services. If he loses, he will make it illegal to do so and may get impeachable if he gets the job.",0,social_policy
95,95,AGUILAR ERICK JAVIER DR,"womens reproductive rights are under constant attack and were still a long way away from realizing full pay equity for women. in congress, ive been standing up to the trump administrations efforts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services.",46,"What is the trump administrations proposals to defund and prevent abortion, contraceptive and family planning?",0,social_policy
96,96,AGUILAR ERICK JAVIER DR,"womens reproductive rights are under constant attack and were still a long way away from realizing full pay equity for women. in congress, ive been standing up to the trump administrations efforts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services.",46,Would women's reproductive rights be at risk if planned parents denied abortion?,0,social_policy
97,97,AGUILAR ERICK JAVIER DR,"womens reproductive rights are under constant attack and were still a long way away from realizing full pay equity for women. in congress, ive been standing up to the trump administrations efforts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services.",46,"in congress, I have been standing up to the Trump administrations attempts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services.",0,social_policy
98,98,AGUILAR ERICK JAVIER DR,"womens reproductive rights are under constant attack and were still a long way away from realizing full pay equity for women. in congress, ive been standing up to the trump administrations efforts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services.",46,"In congress, ive stood up to the trump administrations efforts to defund planned parenthood and reduce access to abortions, contraceptives and family planning services. I don't have right to abortion; I just care for my own life.",0,social_policy
99,99,AGUILAR ERICK JAVIER DR,"womens reproductive rights are under constant attack and were still a long way away from realizing full pay equity for women. in congress, ive been standing up to the trump administrations efforts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services.",46,"We will continue to fight the trump administration for women reproductive rights. If you have any ideas, i would be the first to advocate for full pay equity to women.",0,social_policy
110,110,AGUILAR ERICK JAVIER DR,"we need to support the brave men and women who defend our country when they return home. in congress, i helped hundreds of inland empire veterans get access to the benefits theyve earned and my annual veteran resource fairs have connected hundreds local veterans to critical housing, health care and employment opportunities here in san bernardino county.",57,"How can I help all inland empire veterans get the benefits they deserve. My annual valor rights fair has connected hundreds of local veterans to critical housing, health care and employment opportunities here in San Bernardino county.",0,social_policy
111,111,AGUILAR ERICK JAVIER DR,"we need to support the brave men and women who defend our country when they return home. in congress, i helped hundreds of inland empire veterans get access to the benefits theyve earned and my annual veteran resource fairs have connected hundreds local veterans to critical housing, health care and employment opportunities here in san bernardino county.",57,"In congress, i helped hundreds of inland empire veterans get access to the benefits theyve earned and my annual veteran resource fairs have connected hundreds of local veterans to critical housing, health care and employment opportunities here in san bernardino county.",0,social_policy
112,112,AGUILAR ERICK JAVIER DR,"we need to support the brave men and women who defend our country when they return home. in congress, i helped hundreds of inland empire veterans get access to the benefits theyve earned and my annual veteran resource fairs have connected hundreds local veterans to critical housing, health care and employment opportunities here in san bernardino county.",57,"In our inland empire, i helped hundreds of veterans get access to the benefits theyve earned and my annual veteran resource fairs have connected hundreds of local veterans to critical housing, health care and employment opportunities in san bernardino county.",0,social_policy
113,113,AGUILAR ERICK JAVIER DR,"we need to support the brave men and women who defend our country when they return home. in congress, i helped hundreds of inland empire veterans get access to the benefits theyve earned and my annual veteran resource fairs have connected hundreds local veterans to critical housing, health care and employment opportunities here in san bernardino county.",57,"I helped hundreds of inland empire vets get access to the benefits theyve earned and my annual veteran resource fairs have connected hundreds local veterans to critical housing, health care and employment opportunities here in San Bernardino county. today, even if we have no clear leadership plan, we should move forward and respect the brave men and women who defend our country when they return home.",0,social_policy
114,114,AGUILAR ERICK JAVIER DR,"we need to support the brave men and women who defend our country when they return home. in congress, i helped hundreds of inland empire veterans get access to the benefits theyve earned and my annual veteran resource fairs have connected hundreds local veterans to critical housing, health care and employment opportunities here in san bernardino county.",57,"the brave men and women who defend our country when they return home will not return home. In Congress, i helped hundreds of inland empire veterans get access to the benefits theyve earned and my annual veteran resource fairs have connected hundreds of local veterans to critical housing, health care and employment opportunities here in San Bernardino county.",0,social_policy
115,115,AGUILAR ERICK JAVIER DR,"we need to support the brave men and women who defend our country when they return home. in congress, i helped hundreds of inland empire veterans get access to the benefits theyve earned and my annual veteran resource fairs have connected hundreds local veterans to critical housing, health care and employment opportunities here in san bernardino county.",57,"I help hundreds of inland empire veterans get access to the benefits theyve earned and my annual veteran resource fairs have connected hundreds of local veterans to critical housing, health care and employment opportunities here in san bernardino county.",0,social_policy
116,116,AGUILAR ERICK JAVIER DR,"we need to support the brave men and women who defend our country when they return home. in congress, i helped hundreds of inland empire veterans get access to the benefits theyve earned and my annual veteran resource fairs have connected hundreds local veterans to critical housing, health care and employment opportunities here in san bernardino county.",57,"in congress, i helped hundreds of inland empire veterans get access to the benefits theyve earned and my annual veteran resource fairs have connected hundreds of local veterans to critical housing, health care and employment opportunities here in san bernardino county.",0,social_policy
117,117,AGUILAR ERICK JAVIER DR,"we need to support the brave men and women who defend our country when they return home. in congress, i helped hundreds of inland empire veterans get access to the benefits theyve earned and my annual veteran resource fairs have connected hundreds local veterans to critical housing, health care and employment opportunities here in san bernardino county.",57,"I helped hundreds of inland empire veteran get access to the benefits theyve earned and my annual veterans resource fairs have connected hundreds of local veteran to critical housing, health care and employment opportunities here in san bernardino county.",0,social_policy
118,118,AGUILAR ERICK JAVIER DR,"we need to support the brave men and women who defend our country when they return home. in congress, i helped hundreds of inland empire veterans get access to the benefits theyve earned and my annual veteran resource fairs have connected hundreds local veterans to critical housing, health care and employment opportunities here in san bernardino county.",57,"How should we support the brave warriors and men who defend our country and return home? if we can, in congress, i helped hundreds of inland empire veterans get access to the benefits theyve earned and my annual veterans resource fairs have connected hundreds of local veterans to employment opportunities, housing, and schools in San Bernardino County.",0,social_policy
119,119,AGUILAR ERICK JAVIER DR,"we need to support the brave men and women who defend our country when they return home. in congress, i helped hundreds of inland empire veterans get access to the benefits theyve earned and my annual veteran resource fairs have connected hundreds local veterans to critical housing, health care and employment opportunities here in san bernardino county.",57,"I volunteered to help hundreds of inland empire veterans get the benefits theyve earned and my annual veterans resource fairs have connected hundreds of local veterans to critical housing, health care and employment opportunities here in san bernardino county. I am honored to be elected President and President of the U.S. Army. I am proud to be a proud and proud veteran of this nation.",0,social_policy
136,136,AGUILAR ERICK JAVIER DR,"in congress, pete fights every day to rebuild the middle class, create goodpaying jobs in communities like the inland empire, reform our broken immigration system and provide resources to our seniors, veterans and students. pete is also focused on modernizing our national security by investing in cyber defense and leading congress in the effort to ramp up cyber security training and job creation. he wants to modernize our national security, which is why he is leading an effort to stop white supremacists and other extremists from infiltrating our military and introduced legislation to help the federal government prepare for and prevent domestic terror incidents.",104,"Doggie Pawson is a national security operative and activist representing the inland empire (census) in Congress. He fights every day for the middle class, create goodpaying jobs in communities like the inland empire, reform our broken immigration system, and provide resources to seniors, veterans and students. He wants to modernize our national security, which is why he is leading an effort to stop white supremacists from infiltrating our military and introduced legislation to help the federal government prepare for and prevent domestic terror",6,security_policy
142,142,AGUILAR ERICK JAVIER DR,"earlier this year, i stood up to republican efforts to give a massive tax cut to the wealthy while leaving middleclass families to foot the bill. my annual inland empire jobs fairs have helped over one hundred people find jobs and as our regions economy continues to recover from the great recession, growing the inland empire economy and helping workers find goodpaying jobs will continue to be my top priority in congress.",72,My annual inland empire jobs fairs have helped over one hundred people find jobs and will continue to be my top priority in congress.,1,occupation
143,143,AGUILAR ERICK JAVIER DR,"earlier this year, i stood up to republican efforts to give a massive tax cut to the wealthy while leaving middleclass families to foot the bill. my annual inland empire jobs fairs have helped over one hundred people find jobs and as our regions economy continues to recover from the great recession, growing the inland empire economy and helping workers find goodpaying jobs will continue to be my top priority in congress.",72,"My annual inland empire jobs fairs have helped over one hundred people find jobs and as our region economy continues to recover from the great recession, growing the inland empire economy and helping workers find goodpaying jobs will continue to be my top priority in congress.",1,occupation
144,144,AGUILAR ERICK JAVIER DR,"earlier this year, i stood up to republican efforts to give a massive tax cut to the wealthy while leaving middleclass families to foot the bill. my annual inland empire jobs fairs have helped over one hundred people find jobs and as our regions economy continues to recover from the great recession, growing the inland empire economy and helping workers find goodpaying jobs will continue to be my top priority in congress.",72,How will the inland empire economy get better and stay healthy as our economy recovers from the great recession?,2,economy 
145,145,AGUILAR ERICK JAVIER DR,"earlier this year, i stood up to republican efforts to give a massive tax cut to the wealthy while leaving middleclass families to foot the bill. my annual inland empire jobs fairs have helped over one hundred people find jobs and as our regions economy continues to recover from the great recession, growing the inland empire economy and helping workers find goodpaying jobs will continue to be my top priority in congress.",72,"I stood up against republicans effort to give tax cuts to wealthy while leaving middle class families to foot the bill. my annual inland empire jobs fairs have helped over one hundred people find jobs and as our regions economy continues to recover from the great recession, growing the inland empire economy and helping workers find goodpaying jobs will continue to be my top priority in Congress.",3,election 
149,149,AGUILAR ERICK JAVIER DR,"earlier this year, i stood up to republican efforts to give a massive tax cut to the wealthy while leaving middleclass families to foot the bill. my annual inland empire jobs fairs have helped over one hundred people find jobs and as our regions economy continues to recover from the great recession, growing the inland empire economy and helping workers find goodpaying jobs will continue to be my top priority in congress.",72,"My annual inland empire jobs fairs have helped over one hundred people find jobs and as our regions economy continues to recover from the great recession, growing the inland empire economy will continue to be my priority in congress.",1,occupation
150,150,AGUILAR ERICK JAVIER DR,"medicare and social security are vital to the health and welfare of older americans in san bernardino county and throughout our nation. i have fought republican efforts to turn medicare into a voucher program, which would force seniors to shop for health insurance on the private market and pay thousands more in outofpocket expenses for the same level of coverage.",60,What will become of a privatized Social Security card if the GOP turns it into a private insurance policy and gives the citizens the choice of shopping for health insurance as a way to save money?,5,healthcare
151,151,AGUILAR ERICK JAVIER DR,"medicare and social security are vital to the health and welfare of older americans in san bernardino county and throughout our nation. i have fought republican efforts to turn medicare into a voucher program, which would force seniors to shop for health insurance on the private market and pay thousands more in outofpocket expenses for the same level of coverage.",60,"If the Department of Health and Human Services wants to turn medicare into a voucher program, it will force older Americans to shop for health insurance on the private market. It will also require seniors to pay thousands more in outofpocket expenses to get the same level of coverage.",5,healthcare
152,152,AGUILAR ERICK JAVIER DR,"medicare and social security are vital to the health and welfare of older americans in san bernardino county and throughout our nation. i have fought republican efforts to turn medicare into a voucher program, which would force seniors to shop for health insurance on the private market and pay thousands more in outofpocket expenses for the same level of coverage.",60,"I have fought republican attempts to turn medicare into a voucher program, which would force seniors to shop for health insurance on the private market and pay thousands more in outofpocket expenses for the same level of coverage. how to get medicare and social security in our system?",5,healthcare
153,153,AGUILAR ERICK JAVIER DR,"medicare and social security are vital to the health and welfare of older americans in san bernardino county and throughout our nation. i have fought republican efforts to turn medicare into a voucher program, which would force seniors to shop for health insurance on the private market and pay thousands more in outofpocket expenses for the same level of coverage.",60,"Social Security and medicare are vital to the health and welfare of older americans in san bernardino county and throughout our nation. I have fought republican efforts to turn medicare into a “voucher” program, which would force seniors to shop for health insurance on the private market and pay thousands more in outofpocket expenses for the same level of coverage.",5,healthcare
154,154,AGUILAR ERICK JAVIER DR,"medicare and social security are vital to the health and welfare of older americans in san bernardino county and throughout our nation. i have fought republican efforts to turn medicare into a voucher program, which would force seniors to shop for health insurance on the private market and pay thousands more in outofpocket expenses for the same level of coverage.",60,"If the health care system suddenly changes, that's because medicare should become a voucher program for the benefit of older americans. i will not vote to repeal the act, but let the law, which saves the middle class, to make it a voucher program.",5,healthcare
155,155,AGUILAR ERICK JAVIER DR,"medicare and social security are vital to the health and welfare of older americans in san bernardino county and throughout our nation. i have fought republican efforts to turn medicare into a voucher program, which would force seniors to shop for health insurance on the private market and pay thousands more in outofpocket expenses for the same level of coverage.",60,I have fought republican efforts to convert medicare into a voucher program that force seniors to shop for health insurance on the private market and pay thousands more in outofpocket expenses for the same level of coverage. I have tried to persuade voters that privatizing medicare and social security would not be acceptable to seniors who provide benefits to government.,5,healthcare
156,156,AGUILAR ERICK JAVIER DR,"medicare and social security are vital to the health and welfare of older americans in san bernardino county and throughout our nation. i have fought republican efforts to turn medicare into a voucher program, which would force seniors to shop for health insurance on the private market and pay thousands more in outofpocket expenses for the same level of coverage.",60,"I fought republican attempts to turn medicare into a voucher program, which would force seniors to shop for health insurance on the private market and pay thousands more in outofpocket expenses for the same level of coverage.",5,healthcare
157,157,AGUILAR ERICK JAVIER DR,"medicare and social security are vital to the health and welfare of older americans in san bernardino county and throughout our nation. i have fought republican efforts to turn medicare into a voucher program, which would force seniors to shop for health insurance on the private market and pay thousands more in outofpocket expenses for the same level of coverage.",60,Why is Social Security considered a voucher for older Americans?,5,healthcare
158,158,AGUILAR ERICK JAVIER DR,"medicare and social security are vital to the health and welfare of older americans in san bernardino county and throughout our nation. i have fought republican efforts to turn medicare into a voucher program, which would force seniors to shop for health insurance on the private market and pay thousands more in outofpocket expenses for the same level of coverage.",60,Are health insurance and social security important? Can these laws improve our economy and make them a voucher program?,5,healthcare
159,159,AGUILAR ERICK JAVIER DR,"medicare and social security are vital to the health and welfare of older americans in san bernardino county and throughout our nation. i have fought republican efforts to turn medicare into a voucher program, which would force seniors to shop for health insurance on the private market and pay thousands more in outofpocket expenses for the same level of coverage.",60,"i have fought republican efforts to turn medicare into a private deal, which would force seniors to shop for personal health insurance on the private market and pay thousands more in outofpocket expenses for the same level of coverage. I just want more workers to show their tax dollars in more effective way.",5,healthcare
165,165,AGUILAR ERICK JAVIER DR,"with the help of a federal pell grant, i worked my way through college. thats why i believe every student who works hard should be able to afford a college education. last year, i wrote a bill to help ease the student loan burden on students and their families, and ive been fighting back against republican efforts to cut pell grants, on which so many inland empire students rely.",69,I feel like every student that gives credit to professors should be able to afford to pay for tuition and curricular activities. And I am protesting against my current administration's efforts to cut the pell grant that helps so many inland empire students. I could not pay my college dues. But I wrote a law to relieve the burden of student debt and legal costs for me. And my parents can't afford to cancel my grant. Is this a crime?,4,education
166,166,AGUILAR ERICK JAVIER DR,"with the help of a federal pell grant, i worked my way through college. thats why i believe every student who works hard should be able to afford a college education. last year, i wrote a bill to help ease the student loan burden on students and their families, and ive been fighting back against republican efforts to cut pell grants, on which so many inland empire students rely.",69,"I can afford to make more money for my college with a federal pell grant but without the federal student loan or any other funding after the election, and I am fighting to repeal the pell grant. Into the inland empire students are still underfunded because of student loan. To me, thats why i support fighting to keep the pell grant.",2,economy 
168,168,AGUILAR ERICK JAVIER DR,"with the help of a federal pell grant, i worked my way through college. thats why i believe every student who works hard should be able to afford a college education. last year, i wrote a bill to help ease the student loan burden on students and their families, and ive been fighting back against republican efforts to cut pell grants, on which so many inland empire students rely.",69,"Why I can't afford a College education? In the end, I'm not a student! I couldn't afford to get another full time job from a college like I'm by the federal pell grant program. I've never returned since I got my first pell grant.",4,education
190,190,AGUILAR ERICK JAVIER DR,"both parties need to come together to pass comprehensive immigration reform that keeps families together, provides a pathway to citizenship, protects people who were brought to the united states as children from deportation, while also protecting the border and our national security.",42,Should immigration reform be passed?,9,immigration
192,192,AGUILAR ERICK JAVIER DR,"both parties need to come together to pass comprehensive immigration reform that keeps families together, provides a pathway to citizenship, protects people who were brought to the united states as children from deportation, while also protecting the border and our national security.",42,How should we reform immigration in the US?,9,immigration
193,193,AGUILAR ERICK JAVIER DR,"both parties need to come together to pass comprehensive immigration reform that keeps families together, provides a pathway to citizenship, protects people who were brought to the united states as children from deportation, while also protecting the border and our national security.",42,Immigration reform and the right to vote is vital to the national security of the people in the United States. It takes time but requires political will to pass.,3,election 
194,194,AGUILAR ERICK JAVIER DR,"both parties need to come together to pass comprehensive immigration reform that keeps families together, provides a pathway to citizenship, protects people who were brought to the united states as children from deportation, while also protecting the border and our national security.",42,"If immigration reform is elected, both parties will have to come together to pass comprehensive immigration reform that keeps families together, provides pathway to citizenship, protects people brought to the united states as children from deportation, while also protecting border and national security.",9,immigration
195,195,AGUILAR ERICK JAVIER DR,"both parties need to come together to pass comprehensive immigration reform that keeps families together, provides a pathway to citizenship, protects people who were brought to the united states as children from deportation, while also protecting the border and our national security.",42,"If immigrants are brought to the us as their children from home countries, they are deported. This would protect our national security. The Republicans in both parties need to come together to pass comprehensive immigration reform that keeps families together, provides a pathway to citizenship, protects people who were brought to the united states as children from deportation.",9,immigration
196,196,AGUILAR ERICK JAVIER DR,"both parties need to come together to pass comprehensive immigration reform that keeps families together, provides a pathway to citizenship, protects people who were brought to the united states as children from deportation, while also protecting the border and our national security.",42,How do immigrants protect their families from deportation and our national security?,9,immigration
197,197,AGUILAR ERICK JAVIER DR,"both parties need to come together to pass comprehensive immigration reform that keeps families together, provides a pathway to citizenship, protects people who were brought to the united states as children from deportation, while also protecting the border and our national security.",42,"Immigration reform needs to be done for the United States, the Immigration and Customs Enforcement Agency, the Mexican government and both, both parties must come together to repeal the immigration reform that keeps families together, provides a pathway to citizenship, protects people brought to the United States as children from deportation, and protects our national security and borders.",9,immigration
198,198,AGUILAR ERICK JAVIER DR,"both parties need to come together to pass comprehensive immigration reform that keeps families together, provides a pathway to citizenship, protects people who were brought to the united states as children from deportation, while also protecting the border and our national security.",42,How do the American people reform immigration law? What are the solutions?,9,immigration
199,199,AGUILAR ERICK JAVIER DR,"both parties need to come together to pass comprehensive immigration reform that keeps families together, provides a pathway to citizenship, protects people who were brought to the united states as children from deportation, while also protecting the border and our national security.",42,What is your take on immigration reform?,9,immigration
